image,condition,label
22900_2017-04-10 11_31_10-x-ROI_0-x-glomerulus-x-32689-x-136625-x-722-x-723.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_1-x-glomerulus-x-35452-x-52632-x-935-x-935.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_10-x-glomerulus-x-36058-x-50436-x-867-x-867.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_100-x-glomerulus-x-44558-x-129819-x-544-x-544.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_101-x-glomerulus-x-42914-x-52786-x-752-x-752.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_102-x-glomerulus-x-29007-x-56408-x-664-x-665.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_103-x-glomerulus-x-48764-x-121962-x-532-x-533.png,Global solidified glomerulosclerosis,2
22900_2017-04-10 11_31_10-x-ROI_104-x-glomerulus-x-60352-x-114718-x-552-x-552.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_105-x-glomerulus-x-65763-x-32710-x-552-x-551.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_106-x-glomerulus-x-30994-x-142302-x-792-x-792.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_107-x-glomerulus-x-48279-x-46743-x-633-x-633.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_108-x-glomerulus-x-57705-x-33802-x-714-x-714.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_109-x-glomerulus-x-59575-x-115323-x-822-x-822.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_11-x-glomerulus-x-32397-x-135376-x-637-x-637.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_110-x-glomerulus-x-70530-x-110292-x-501-x-501.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_111-x-glomerulus-x-75286-x-104525-x-641-x-641.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_112-x-glomerulus-x-44490-x-131913-x-533-x-533.png,Global solidified glomerulosclerosis,2
22900_2017-04-10 11_31_10-x-ROI_113-x-glomerulus-x-73719-x-30484-x-516-x-515.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_114-x-glomerulus-x-75120-x-105256-x-532-x-532.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_115-x-glomerulus-x-44908-x-47042-x-545-x-545.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_116-x-glomerulus-x-64557-x-35764-x-486-x-486.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_117-x-glomerulus-x-44574-x-49143-x-512-x-513.png,Global solidified glomerulosclerosis,2
22900_2017-04-10 11_31_10-x-ROI_118-x-glomerulus-x-39742-x-53424-x-777-x-777.png,Normal,0
