image,condition,label
22861_2017-04-08 12_12_09-x-ROI_0-x-glomerulus-x-56998-x-161881-x-784-x-783.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1-x-glomerulus-x-71147-x-157525-x-666-x-665.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_10-x-glomerulus-x-54567-x-82828-x-704-x-705.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_100-x-glomerulus-x-62484-x-77625-x-693-x-693.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1000-x-glomerulus-x-84259-x-52090-x-575-x-576.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1001-x-glomerulus-x-83653-x-141605-x-447-x-447.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1002-x-glomerulus-x-64616-x-161659-x-553-x-553.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1003-x-glomerulus-x-76930-x-61426-x-595-x-595.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1004-x-glomerulus-x-82243-x-137340-x-468-x-468.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1005-x-glomerulus-x-79210-x-152465-x-456-x-456.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1006-x-glomerulus-x-42124-x-89907-x-566-x-566.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1007-x-glomerulus-x-83545-x-61184-x-734-x-734.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1008-x-glomerulus-x-37551-x-166686-x-545-x-545.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1009-x-glomerulus-x-49526-x-86817-x-554-x-555.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_101-x-glomerulus-x-47499-x-89152-x-724-x-723.png,Global obsolescent glomerulosclerosis,1
